User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/02-26-015-15W4/00, 225, 1350, 0, ABOVE Kpakowki, 1338, Mpekisko
100/01-29-015-15W4/00, 183, 1100, 0, ABOVE Kpakowki, 1079.5, Mpekisko
100/13-35-015-15W4/00, 25, 750, 0, ABOVE Kpakowki, 729.6, Kbfs
100/13-10-015-16W4/00, 160, 1397, 0, ABOVE Kpakowki, 280, Kmilk_rv
100/08-29-015-20W4/00, 10, 1349.5, 0, ABOVE Kpakowki, 1343.9, Jrierdon
102/16-35-015-20W4/00, 246.5, 1282.5, 0, ABOVE Kpakowki, 1266.8, Mlivngstn
100/16-10-015-21W4/00, 234.7, 1355.5, 0, ABOVE Kmed_hat, 1035.3, Kbi_ss
100/07-05-015-26W4/00, 242, 2146.5, 0, ABOVE Kbelly_rv, 2132.5, Jswift
100/01-09-015-26W4/00, 1500, 2065.5, 1332.7, Kmed_hat, 2041, Jswift
100/09-19-015-26W4/00, 850, 2106, 740, Kbearpaw, 2092, Jrierdon
100/01-07-015-27W4/00, 212, 2497, 0, ABOVE Kbelly_rv, 2467.6, Jrierdon
100/16-24-015-30W4/00, 605, 2964, 0, ABOVE Kmilk_rv, 2960.1, Jrierdon
100/12-20-016-03W4/00, 25, 490, 0, ABOVE Kmilk_rv, 472, Kmed_hat
100/14-32-016-04W4/00, 25, 475, 0, ABOVE Kpakowki, 419, Kmed_hat
100/04-02-016-05W4/00, 25, 625, 0, ABOVE Kmilk_rv, 572.8, K2nd_ws
100/04-14-016-05W4/00, 25, 625, 0, ABOVE Kmilk_rv, 580.9, K2nd_ws
100/11-25-016-05W4/00, 3.3, 310.9, 0, ABOVE Kmilk_rv, 253.5, Kmilk_rv
100/13-25-016-05W4/00, 25, 575, 0, ABOVE Kpakowki, 242.8, Kmilk_rv
100/08-18-016-07W4/00, 710, 1001, 698.8, Kbow_isl, 698.8, Kbow_isl
100/03-19-016-07W4/00, 725, 975, 610.9, K2nd_ws, 961.9, Ksunburst
102/04-35-016-07W4/00, 100, 900, 0, ABOVE Kmilk_rv, 894.7, Kglauc_ss
100/01-34-016-08W4/00, 14, 665, 0, ABOVE Kmilk_rv, 614.4, K2nd_ws
102/04-01-016-09W4/00, 100, 655, 0, ABOVE Kcolorado, 608.8, K2ws_ss
100/13-14-016-09W4/00, 184.4, 998.8, 0, ABOVE Kmed_hat, 709.2, Kbow_isl
100/09-33-016-09W4/00, 25, 669.9, 0, ABOVE Kmilk_rv, 631, K2ws_ss
102/09-35-016-09W4/00, 200, 975, 0, ABOVE Kmilk_rv, 959.2, Kglauc_ss
100/10-35-016-09W4/00, 10, 955.4, 0, ABOVE Kpakowki, 945.3, Kostracod
100/05-02-016-10W4/00, 25, 644, 0, ABOVE Kmilk_rv, 624.7, K2ws_ss
102/02-30-016-10W4/00, 236.2, 1075.8, 0, ABOVE K2ws_ss, 744, Kbow_isl
